Timestamp,User_Message,Bot_Answer,Source,Score,Matched_Question
2026-06-17 11:07:54,سلام. میتونی بیشتر در مورد نمایشگاه منو راهنمایی کنی؟ برای چه گروهی از مخاطبان مناسبه؟,این سؤال خارج از حوزه نمایشگاه ایران‌فارما است یا اطلاعات آن در پایگاه دانش ثبت نشده است.,fallback,0.0,
2026-06-17 11:08:37,محل شارژ گوشی کجاست,این سؤال خارج از حوزه نمایشگاه ایران‌فارما است یا اطلاعات آن در پایگاه دانش ثبت نشده است.,fallback,0.0,
2026-06-17 11:09:18,کافه نمایشگاه کجاست,کافه‌های نمایشگاه در حیاط یاس، انتهای شبستان مستقر است.,rag,0.7975812673568725,کافی‌شاپ کجاست؟
2026-06-17 11:10:04,چطوری میتونیم در کتاب نمایشگاه تبلیغات بدیم؟,خیر، هزینه جداگانه دارد.,rag,0.6233889898621893,آیا درج آگهی در کتاب نمایشگاه رایگان است؟
2026-06-17 11:12:16,تبلیغات نمایشگاه از چه زمانی شروع می شود,بله، شرکت‌ها از طریق وب‌سایت، کاتالوگ و کتاب نمایشگاه معرفی می‌شوند.,rag,0.5838665377009998,آیا نمایشگاه از غرفه‌داران حمایت تبلیغاتی می‌کند؟
2026-06-17 11:33:37,سوال قبلی من چی بود,آخرین سوال شما این بود: «تبلیغات نمایشگاه از چه زمانی شروع می شود»,meta,1.0,
2026-06-17 11:34:03,می چی پرسیدم الان؟,آخرین سوال شما این بود: «سوال قبلی من چی بود»,meta,1.0,
2026-06-17 11:35:31,سلام,سلام، من دستیار هوش مصنوعی نمایشگاه ایران فارما هستم. چطور می‌توانم کمک کنم؟,example,1.0,سلام
2026-06-17 12:17:28,دبیرخانه ایران فارما کجاست,نمایشگاه بین‌المللی ایران‌فارما، بزرگ‌ترین رویداد تخصصی و بین‌المللی صنعت داروسازی ایران و یکی از معتبرترین نمایشگاه‌های این حوزه در منطقه خاورمیانه و MENA است. این رویداد با هدف توسعه تعاملات تجاری، معرفی فناوری‌های نوین، ایجاد فرصت‌های سرمایه‌گذاری و تقویت همکاری‌های داخلی و بین‌المللی برگزار می‌شود و میزبان شرکت‌های داروسازی، تولیدکنندگان مواد اولیه، تجهیزات، بسته‌بندی، خدمات فنی و فعالان زنجیره تأمین دارو از کشورهای مختلف جهان است.,rag,0.6369334697723389,ایران فارما چیست؟
2026-06-17 12:17:56,شمار دبیرخانه نمایشگاه,برای تماس با دبیرخانه می‌توانید از طریق ایمیل info@iphexpo.com یا فرم تماس در سایت IPHEXPO.COM اقدام کنید.,rag,0.5530081918274147,شماره تماس دبیرخانه چنده
2026-06-17 12:18:40,تلفن دبیرخانه نمایشگاه,برای تماس با دبیرخانه می‌توانید از طریق ایمیل info@iphexpo.com یا فرم تماس در سایت IPHEXPO.COM اقدام کنید.,rag,0.553850293505019,شماره تماس دبیرخانه چنده
2026-06-17 12:20:34,برگزارکننده ایران فارما کیه,این سؤال خارج از حوزه نمایشگاه ایران‌فارما است یا اطلاعات آن در پایگاه دانش ثبت نشده است.,fallback,0.0,
2026-06-17 13:21:16,سلام,سلام، من دستیار هوش مصنوعی نمایشگاه ایران فارما هستم. چطور می‌توانم کمک کنم؟,example,1.0,سلام
2026-06-17 13:21:25,خوبی,بله ممنون. در خدمت شما هستم.,example,1.0,خوبی
2026-06-17 13:22:10,ایران فارما چیه,نمایشگاه بین‌المللی ایران‌فارما، بزرگ‌ترین رویداد تخصصی و بین‌المللی صنعت داروسازی ایران و یکی از معتبرترین نمایشگاه‌های این حوزه در منطقه خاورمیانه و MENA است. این رویداد با هدف توسعه تعاملات تجاری، معرفی فناوری‌های نوین، ایجاد فرصت‌های سرمایه‌گذاری و تقویت همکاری‌های داخلی و بین‌المللی برگزار می‌شود و میزبان شرکت‌های داروسازی، تولیدکنندگان مواد اولیه، تجهیزات، بسته‌بندی، خدمات فنی و فعالان زنجیره تأمین دارو از کشورهای مختلف جهان است.,rag,0.8157366157218974,ایران فارما چیست؟
2026-06-17 13:22:34,چند تا شرکت میان,تعداد شرکت‌های حاضر در یازدهمین دوره نمایشگاه ایران‌فارما هنوز نهایی نشده است، اما طی سال‌های گذشته، هر سال بیش از 700 شرکت در نمایشگاه حضور دارند.,rag,0.5291611093741198,چه تعداد شرکت در نمایشگاه حضور دارند؟
2026-06-17 13:22:49,بیکارن؟,این سؤال خارج از حوزه نمایشگاه ایران‌فارما است یا اطلاعات آن در پایگاه دانش ثبت نشده است.,fallback_threshold,0.0,
2026-06-17 13:23:08,دارو هم میفروشین,این سؤال خارج از حوزه نمایشگاه ایران‌فارما است یا اطلاعات آن در پایگاه دانش ثبت نشده است.,fallback_threshold,0.0,
2026-06-17 13:23:20,عبیدی میاد,این سؤال خارج از حوزه نمایشگاه ایران‌فارما است یا اطلاعات آن در پایگاه دانش ثبت نشده است.,fallback_threshold,0.0,
2026-06-17 14:40:38,سلام,سلام، من دستیار هوش مصنوعی نمایشگاه ایران فارما هستم. چطور می‌توانم کمک کنم؟,example,1.0,سلام
2026-06-17 15:48:59,چی هست؟,این سؤال خارج از حوزه نمایشگاه ایران‌فارما است یا اطلاعات آن در پایگاه دانش ثبت نشده است.,fallback_threshold,0.0,2026-06-18 18:52:40,سلام,سلام، من دستیار هوش مصنوعی نمایشگاه ایران فارما هستم. چطور می‌توانم کمک کنم؟,example,1.0,سلام
2026-06-18 18:52:57,غرفه عبیدی کدوم سمته,این سؤال خارج از حوزه نمایشگاه ایران‌فارما است یا اطلاعات آن در پایگاه دانش ثبت نشده است.,fallback_threshold,0.0,
2026-06-18 18:53:43,نمایشگاه ایران فارما رو معرفی کن,این رویداد یکی از مهم‌ترین پلتفرم‌های تخصصی صنعت داروسازی در منطقه است که تولیدکنندگان، تأمین‌کنندگان، نهادهای نظارتی و متخصصان سلامت را گرد هم می‌آورد.,rag,0.7323653983347344,چه چیزی نمایشگاه ایران‌فارما را متمایز می‌کند؟
2026-06-18 19:39:34,سلام,سلام، من دستیار هوش مصنوعی نمایشگاه ایران فارما هستم. چطور می‌توانم کمک کنم؟,example,1.0,سلام
2026-06-19 09:00:00,ایران فارما رو معرفی کن,نمایشگاه بین‌المللی ایران‌فارما، بزرگ‌ترین رویداد تخصصی و بین‌المللی صنعت داروسازی ایران و یکی از معتبرترین نمایشگاه‌های این حوزه در منطقه خاورمیانه و MENA است. این رویداد با هدف توسعه تعاملات تجاری، معرفی فناوری‌های نوین، ایجاد فرصت‌های سرمایه‌گذاری و تقویت همکاری‌های داخلی و بین‌المللی برگزار می‌شود و میزبان شرکت‌های داروسازی، تولیدکنندگان مواد اولیه، تجهیزات، بسته‌بندی، خدمات فنی و فعالان زنجیره تأمین دارو از کشورهای مختلف جهان است.,rag,0.7020974135398864,ایران فارما چیست؟
2026-06-19 09:00:40,ایران فارما رو معرفی کن,نمایشگاه بین‌المللی ایران‌فارما، بزرگ‌ترین رویداد تخصصی و بین‌المللی صنعت داروسازی ایران و یکی از معتبرترین نمایشگاه‌های این حوزه در منطقه خاورمیانه و MENA است. این رویداد با هدف توسعه تعاملات تجاری، معرفی فناوری‌های نوین، ایجاد فرصت‌های سرمایه‌گذاری و تقویت همکاری‌های داخلی و بین‌المللی برگزار می‌شود و میزبان شرکت‌های داروسازی، تولیدکنندگان مواد اولیه، تجهیزات، بسته‌بندی، خدمات فنی و فعالان زنجیره تأمین دارو از کشورهای مختلف جهان است.,rag,0.7020974135398864,ایران فارما چیست؟
2026-06-19 09:02:59,ایران فارما رو معرفی کن,نمایشگاه بین‌المللی ایران‌فارما، بزرگ‌ترین رویداد تخصصی و بین‌المللی صنعت داروسازی ایران و یکی از معتبرترین نمایشگاه‌های این حوزه در منطقه خاورمیانه و MENA است. این رویداد با هدف توسعه تعاملات تجاری، معرفی فناوری‌های نوین، ایجاد فرصت‌های سرمایه‌گذاری و تقویت همکاری‌های داخلی و بین‌المللی برگزار می‌شود و میزبان شرکت‌های داروسازی، تولیدکنندگان مواد اولیه، تجهیزات، بسته‌بندی، خدمات فنی و فعالان زنجیره تأمین دارو از کشورهای مختلف جهان است.,rag,0.7020974135398864,ایران فارما چیست؟
2026-06-19 09:07:33,سلام,سلام، من دستیار هوش مصنوعی نمایشگاه ایران فارما هستم. چطور می‌توانم کمک کنم؟,example,1.0,سلام
2026-06-19 09:07:50,ایران فارما رو معرفی کن,نمایشگاه بین‌المللی ایران‌فارما، بزرگ‌ترین رویداد تخصصی و بین‌المللی صنعت داروسازی ایران و یکی از معتبرترین نمایشگاه‌های این حوزه در منطقه خاورمیانه و MENA است. این رویداد با هدف توسعه تعاملات تجاری، معرفی فناوری‌های نوین، ایجاد فرصت‌های سرمایه‌گذاری و تقویت همکاری‌های داخلی و بین‌المللی برگزار می‌شود و میزبان شرکت‌های داروسازی، تولیدکنندگان مواد اولیه، تجهیزات، بسته‌بندی، خدمات فنی و فعالان زنجیره تأمین دارو از کشورهای مختلف جهان است.,rag,0.7020974135398864,ایران فارما چیست؟
2026-06-19 10:11:46,ایران فارما چیه,نمایشگاه بین‌المللی ایران‌فارما، بزرگ‌ترین رویداد تخصصی و بین‌المللی صنعت داروسازی ایران و یکی از معتبرترین نمایشگاه‌های این حوزه در منطقه خاورمیانه و MENA است. این رویداد با هدف توسعه تعاملات تجاری، معرفی فناوری‌های نوین، ایجاد فرصت‌های سرمایه‌گذاری و تقویت همکاری‌های داخلی و بین‌المللی برگزار می‌شود و میزبان شرکت‌های داروسازی، تولیدکنندگان مواد اولیه، تجهیزات، بسته‌بندی، خدمات فنی و فعالان زنجیره تأمین دارو از کشورهای مختلف جهان است.,rag,0.8157366157218974,ایران فارما چیست؟
2026-06-19 10:12:16,ایران فارما چیه,نمایشگاه بین‌المللی ایران‌فارما، بزرگ‌ترین رویداد تخصصی و بین‌المللی صنعت داروسازی ایران و یکی از معتبرترین نمایشگاه‌های این حوزه در منطقه خاورمیانه و MENA است. این رویداد با هدف توسعه تعاملات تجاری، معرفی فناوری‌های نوین، ایجاد فرصت‌های سرمایه‌گذاری و تقویت همکاری‌های داخلی و بین‌المللی برگزار می‌شود و میزبان شرکت‌های داروسازی، تولیدکنندگان مواد اولیه، تجهیزات، بسته‌بندی، خدمات فنی و فعالان زنجیره تأمین دارو از کشورهای مختلف جهان است.,rag,0.8157366157218974,ایران فارما چیست؟
2026-06-19 11:03:09,سلام,سلام، من دستیار هوش مصنوعی نمایشگاه ایران فارما هستم. چطور می‌توانم کمک کنم؟,example,1.0,سلام
2026-06-19 11:03:58,ایران فارما چیه,نمایشگاه بین‌المللی ایران‌فارما، بزرگ‌ترین رویداد تخصصی و بین‌المللی صنعت داروسازی ایران و یکی از معتبرترین نمایشگاه‌های این حوزه در منطقه خاورمیانه و MENA است. این رویداد با هدف توسعه تعاملات تجاری، معرفی فناوری‌های نوین، ایجاد فرصت‌های سرمایه‌گذاری و تقویت همکاری‌های داخلی و بین‌المللی برگزار می‌شود و میزبان شرکت‌های داروسازی، تولیدکنندگان مواد اولیه، تجهیزات، بسته‌بندی، خدمات فنی و فعالان زنجیره تأمین دارو از کشورهای مختلف جهان است.,rag,0.8157366157218974,ایران فارما چیست؟
2026-06-19 11:22:26,سلام,سلام، من دستیار هوش مصنوعی نمایشگاه ایران فارما هستم. چطور می‌توانم کمک کنم؟,example,1.0,سلام
2026-06-19 11:22:45,ایران فارما چیست,نمایشگاه بین‌المللی ایران‌فارما، بزرگ‌ترین رویداد تخصصی و بین‌المللی صنعت داروسازی ایران و یکی از معتبرترین نمایشگاه‌های این حوزه در منطقه خاورمیانه و MENA است. این رویداد با هدف توسعه تعاملات تجاری، معرفی فناوری‌های نوین، ایجاد فرصت‌های سرمایه‌گذاری و تقویت همکاری‌های داخلی و بین‌المللی برگزار می‌شود و میزبان شرکت‌های داروسازی، تولیدکنندگان مواد اولیه، تجهیزات، بسته‌بندی، خدمات فنی و فعالان زنجیره تأمین دارو از کشورهای مختلف جهان است.,exact,1.0,ایران فارما چیست؟
2026-06-19 11:23:41,ایران فارما رو معرفی کن,نمایشگاه بین‌المللی ایران‌فارما، بزرگ‌ترین رویداد تخصصی و بین‌المللی صنعت داروسازی ایران و یکی از معتبرترین نمایشگاه‌های این حوزه در منطقه خاورمیانه و MENA است. این رویداد با هدف توسعه تعاملات تجاری، معرفی فناوری‌های نوین، ایجاد فرصت‌های سرمایه‌گذاری و تقویت همکاری‌های داخلی و بین‌المللی برگزار می‌شود و میزبان شرکت‌های داروسازی، تولیدکنندگان مواد اولیه، تجهیزات، بسته‌بندی، خدمات فنی و فعالان زنجیره تأمین دارو از کشورهای مختلف جهان است.,rag,0.7020974135398864,ایران فارما چیست؟
2026-06-19 11:32:17,دستشویی کجاست,سرویس بهداشتی، بیرون از شبستان اصلی، در مجاورت بال شمالی شبستان، و در حیاط یاس واقع شده است.,rag,0.7020061194896698,سرویس بهداشتی کجاست؟
2026-06-19 11:38:25,چطوری,ممنون، خوبم. چطور می‌توانم کمک کنم؟,example,1.0,چطوری
2026-06-20 10:35:05,سلام,سلام، من دستیار هوش مصنوعی نمایشگاه ایران فارما هستم. چطور می‌توانم کمک کنم؟,example,1.0,سلام
2026-06-20 16:22:12,سلام,سلام، من دستیار هوش مصنوعی نمایشگاه ایران فارما هستم. چطور می‌توانم کمک کنم؟,example,1.0,سلام
2026-06-20 16:22:18,چطوری,ممنون، خوبم. چطور می‌توانم کمک کنم؟,example,1.0,چطوری
2026-06-23 14:18:32,سلام,سلام، من دستیار هوش مصنوعی نمایشگاه ایران فارما هستم. چطور می‌توانم کمک کنم؟,example,1.0,سلام
2026-06-23 18:58:08,سلام,سلام، من دستیار هوش مصنوعی نمایشگاه ایران فارما هستم. چطور می‌توانم کمک کنم؟,example,1.0,سلام
2026-06-23 20:18:25,سلام,سلام، من دستیار هوش مصنوعی نمایشگاه ایران فارما هستم. چطور می‌توانم کمک کنم؟,example,1.0,سلام
2026-06-24 14:40:26,سلام,سلام، من دستیار هوش مصنوعی نمایشگاه ایران فارما هستم. چطور می‌توانم کمک کنم؟,example,1.0,سلام
2026-06-24 14:40:37,ایران فارما چیست,نمایشگاه بین‌المللی ایران‌فارما، بزرگ‌ترین رویداد تخصصی و بین‌المللی صنعت داروسازی ایران و یکی از معتبرترین نمایشگاه‌های این حوزه در منطقه خاورمیانه و MENA است. این رویداد با هدف توسعه تعاملات تجاری، معرفی فناوری‌های نوین، ایجاد فرصت‌های سرمایه‌گذاری و تقویت همکاری‌های داخلی و بین‌المللی برگزار می‌شود و میزبان شرکت‌های داروسازی، تولیدکنندگان مواد اولیه، تجهیزات، بسته‌بندی، خدمات فنی و فعالان زنجیره تأمین دارو از کشورهای مختلف جهان است.,exact,1.0,ایران فارما چیست؟
